source target
SLT2 CLB5
SLT2 MSC2
SLT2 CCW12
SLT2 ROM2
SLT2 LST8
SLT2 RPC53
SLT2 PRP6
SLT2 PTC3
SLT2 ALG8
SLT2 CSF1
SLT2 VPS9
SLT2 ARC40
SLT2 ARC15
SLT2 GSC2
SLT2 LHS1
SLT2 BRO1
SLT2 SAC1
SLT2 RPL35A
SLT2 RIM20
SLT2 ALG1
SLT2 SWI6
SLT2 RPL14A
SLT2 ERG10
SLT2 SWP1
SLT2 VPS8
SLT2 UBP14
SLT2 VPS4
SLT2 SEH1
SLT2 WBP1
SLT2 YUR1
SLT2 TOR1
SLT2 SWI4
SLT2 INO2
SLT2 CDH1
SLT2 ELP4
SLT2 CYK3
SLT2 ERG6
SLT2 KRE5
SLT2 CHS3
SLT2 IKI3
SLT2 PMA2
SLT2 BST1
SLT2 RPO21
SLT2 PMT2
SLT2 LST4
SLT2 TOR2
SLT2 PEF1
SLT2 SPC2
SLT2 SIN4
SLT2 VPS5
SLT2 KIN2
SLT2 NBP2
SLT2 MPH1
SLT2 ALG5
SLT2 PTR3
SLT2 VMA1
SLT2 BNI4
SLT2 SRN2
SLT2 SAP30
SLT2 RLM1
SLT2 BUD6
SLT2 PPZ1
SLT2 SSD1
SLT2 SWI3
SLT2 MIH1
SLT2 OST3
SLT2 RIM101
SLT2 BCK2
SLT2 SHE4
SLT2 HRP1
SLT2 CHS6
SLT2 VHS3
SLT2 SKG3
SLT2 TPM1
SLT2 WSC2
SLT2 LAS21
SLT2 GAB1
SLT2 SPA2
SLT2 SIS2
SLT2 YPS7
SLT2 STE20
SLT2 SMI1
SLT2 SSY1
SLT2 ELP2
SLT2 CLA4
SLT2 CHS7
SLT2 FPS1
SLT2 SKT5
SLT2 CAB1
SLT2 ARP2
SLT2 KDX1
SLT2 ALG6
SCM3 PAT1
SCM3 CSE4
SCM3 HHF1
SCM3 PSH1
SCM3 HHF2
SCM3 CBF2
UBX3 RER1
UBX3 TUL1
UBX3 DSC3
UBX3 DSC2
UBX3 CDC48
SNF6 ARP9
SNF6 RAD4
SNF6 ARP7
SNF6 SNF5
SNF6 RAD23
SNF6 SNF2
SNF6 CLA4
SNF6 PAT1
SNF6 RIM15
SNF6 SWI3
SNF6 GCN4
SNF6 RTT102
SNF6 SNF12
SNF6 TAF14
SNF6 GCN2
SNF6 SNF11
SNF6 SWP82
SNF6 SWI1
TFS1 PRC1
TFS1 IDP1
TFS1 PRO1
TFS1 IRA2
TFS1 CDC25
TFS1 GLO3
NUP145 NUP49
NUP145 GLE1
NUP145 KAP104
NUP145 NUP100
NUP145 SEH1
NUP145 NUP188
NUP145 NUP170
NUP145 SEC13
NUP145 NUP133
NUP145 MLP2
NUP145 NUP157
NUP145 NUP84
NUP145 NUP120
NUP145 NUP116
NUP145 NUP85
TRS31 TCA17
TRS31 TRS23
TRS31 TRS20
TRS31 BET3
TRS31 TRS85
TRS31 TRS120
TRS31 TRS33
BEM1 PTC6
BEM1 SIM1
BEM1 PTP3
BEM1 TAF9
BEM1 BBC1
BEM1 RHO3
BEM1 VPS1
BEM1 GIM3
BEM1 ERD1
BEM1 BCK1
BEM1 SEC5
BEM1 CDC43
BEM1 OPI3
BEM1 MMR1
BEM1 MYO2
BEM1 SMY1
BEM1 ACT1
BEM1 CDC42
BEM1 BOI1
BEM1 GIC1
BEM1 SWE1
BEM1 YNL181W
BEM1 IRA2
BEM1 SEC15
BEM1 AXL2
BEM1 CLA4
BEM1 VPS17
BEM1 SEC72
BEM1 SUP35
BEM1 CLN2
BEM1 ARC40
BEM1 CHS6
BEM1 SEC63
BEM1 SEC8
BEM1 KES1
BEM1 PHO85
BEM1 SMI1
BEM1 LTE1
BEM1 BNI1
BEM1 BEM3
BEM1 STE5
BEM1 CDC24
BEM1 BRE5
BEM1 LAS17
BEM1 MSB1
BEM1 GIN4
BEM1 CLN1
BEM1 STE20
BEM1 PBS2
BEM1 RPA14
BEM1 TOS4
BEM1 BOI2
BEM1 BRE1
BEM1 ARP2
BEM1 SKM1
BEM1 SWI4
BEM1 RSR1
BEM1 FPK1
BEM1 YPL150W
BEM1 RUD3
BEM1 IST3
BEM1 SEC10
BEM1 TAF1
BEM1 BIM1
BEM1 FAR1
BEM1 ALG9
ESL1 ESL2
BCY1 SPC24
BCY1 HSP60
BCY1 RVS167
BCY1 RTC3
BCY1 PTP1
BCY1 TPK3
BCY1 ATG1
BCY1 ESS1
BCY1 CBF2
BCY1 PHO85
BCY1 KIN4
BCY1 RAS1
BCY1 TPK1
BCY1 NRD1
BCY1 TPK2
BCY1 RAS2
BCY1 CYR1
BCY1 IRA2
BCY1 SCH9
BCY1 ENO2
BCY1 MYO2
RPL18A RKR1
RPL18A HSP82
HTS1 RPN11
TFB3 TFB1
TFB3 TFB5
TFB3 KIN28
TFB3 CCL1
TFB3 TFB4
TFB3 TFB2
TFB3 SSL1
TFB3 SSL2
TFB3 RAD3
PDP3 PUF3
PDP3 YTA7
HDA3 EAF3
HDA3 RIM8
HDA3 PHO23
HDA3 HDA2
HDA3 HDA1
HDA3 HTZ1
HDA3 MSH2
HDA3 RPD3
HDA3 GCN5
HDA3 RIM101
HDA3 SIN3
HDA3 RIM13
HSP150 GAS1
HSP150 CIS3
HSP150 PIR1
POT1 CDC13
POT1 CHK1
POT1 PEX18
POT1 PEX7
FZF1 LYS5
FZF1 GRR1
FZF1 SWI5
UTP4 UTP21
UTP4 PWP2
UTP4 POL5
UTP4 RRP5
UTP4 NOP58
UTP4 UTP9
UTP4 UTP7
UTP4 ENP1
UTP4 RRP9
UTP4 UTP8
UTP4 NOC4
UTP4 UTP18
UTP4 UTP10
UTP4 UTP15
UTP4 ECM16
UTP4 NOP6
UTP4 UTP5
UTP4 UTP6
UTP4 KRR1
UTP4 BUD21
UTP4 MPP10
UTP4 UTP22
UTP4 NAN1
SNA2 MEK1
RDN25-1 NPL3
RDN25-1 NOP12
RDN25-1 ARX1
ROT2 GUP1
ROT2 PMR1
ROT2 PER1
ROT2 KRE1
ROT2 PMT1
ROT2 ERD1
ROT2 GTB1
ROT2 LAS21
ROT2 OPI3
ROT2 ROT1
ROT2 IRE1
ROT2 PMT2
ROT2 BCK1
ROT2 GET2
ROT2 VPS74
ROT2 HAC1
ROT2 HOC1
ROT2 MNN11
ROT2 MNN2
ROT2 KAR2
ROT2 BIG1
ROT2 CNE1
ROT2 GAS1
ROT2 RUD3
ROT2 SEC63
ROT2 SCJ1
ROT2 SPF1
ROT2 OST3
ROT2 SEC62
ROT2 YUR1
ROT2 ALG8
ROT2 BST1
CUE1 HRD3
CUE1 IRE1
CUE1 UBC7
CUE1 SEC63
CUE1 STE24
CUE1 UBA4
CUE1 ERG11
CUE1 NPL4
CUE1 YNL181W
CUE1 MPS2
CUE1 CHO2
CUE1 OPI3
CUE1 HAC1
CUE1 SSM4
CUE1 MGA2
CUE1 NDC1
CUE1 SEC61
CUE1 SSH1
CUE1 ERG25
BOS1 RUD3
BOS1 BET1
BOS1 SLY1
BOS1 SSK2
BOS1 SEC22
BOS1 SEC17
BOS1 SED5
BOS1 YKT6
BOS1 SFT1
BOS1 GLO3
SLM1 RIC1
SLM1 MCK1
SLM1 SAC7
SLM1 TOR2
SLM1 AVO2
SLM1 CNA1
SLM1 BIT2
SLM1 CSG2
SLM1 GRX5
SLM1 TSC11
SLM1 PKC1
SLM1 MAM33
SLM1 SLM2
SLM1 YPK1
MBF1 SAC3
MBF1 SPT15
MBF1 GCN4
MBF1 BRE5
MBF1 BUB3
MBF1 UBP3
UBC8 RSP5
YGR273C GIN4
NUP85 NUP49
NUP85 NUP100
NUP85 SEH1
NUP85 MTR2
NUP85 MEX67
NUP85 SEC13
NUP85 NUP133
NUP85 MLP2
NUP85 NUP157
NUP85 NUP84
NUP85 NUP120
NUP85 NMD3
NUP85 NUP116
IZH4 INP54
IZH4 BSC6
VHL ELC1
ECM22 ERG2
ECM22 UPC2
OST2 OST3
OST2 OST6
OST2 OST1
OST2 SWE1
OST2 WBP1
OST2 BCK1
OST2 SEC61
OST2 OST4
OST2 SBH1
PGM2 HUG1
PGM2 PGM1
EFM3 GIM4
EFM3 EFT1
hist1h4a SIR3
SMC2 LRS4
SMC2 SMC4
SMC2 TOF2
SMC2 NUP100
SMC2 NDC80
SMC2 YCS4
SMC2 BRN1
SMC2 BUB1
SMC2 YCG1
SMC2 CSM1
SMC2 FOB1
SMC2 SMC3
PSY2 PPH3
PSY2 CHK1
PSY2 RAD50
PSY2 SPT4
PSY2 SPT5
PSY2 BMH1
PSY2 DUN1
PSY2 MTH1
PSY2 CIK1
PSY2 RGA2
PSY2 BIM1
PSY2 XRS2
PSY2 PSY4
PSY2 HTB2
PSY2 MRE11
PSY2 LSM7
PSY2 RAD53
PSY2 RAD52
PSY2 SWI6
PSY2 SSD1
CAR1 ARG3
CAR1 RPN11
OPI3 GUP1
OPI3 USA1
OPI3 PAC10
OPI3 DOT1
OPI3 YPT6
OPI3 YIP3
OPI3 DEG1
OPI3 COG5
OPI3 VPS52
OPI3 ERV46
OPI3 SNF4
OPI3 MID2
OPI3 CNB1
OPI3 RIC1
OPI3 SIN3
OPI3 ARL1
OPI3 GPT2
OPI3 MNN10
OPI3 NNK1
OPI3 ECM30
OPI3 SWD1
OPI3 PMT1
OPI3 SEC66
OPI3 CKA2
OPI3 RPD3
OPI3 FAR3
OPI3 MTC4
OPI3 IRE1
OPI3 COG6
OPI3 MNN2
OPI3 VPS74
OPI3 SPF1
OPI3 SCS2
OPI3 SUR2
OPI3 PCT1
OPI3 RAD26
OPI3 ILM1
OPI3 ERG26
OPI3 SPT14
OPI3 CWH41
OPI3 SSH1
OPI3 SHR3
OPI3 HRD3
OPI3 ERV14
OPI3 SEC21
OPI3 GNP1
OPI3 GET3
OPI3 HSP82
OPI3 MMR1
OPI3 YDJ1
OPI3 GET1
OPI3 YPR063C
OPI3 GAS1
OPI3 EMC3
OPI3 LSM1
OPI3 ICE2
OPI3 VPS21
OPI3 EMC1
OPI3 YNR021W
OPI3 PHO86
OPI3 COG8
OPI3 ARV1
OPI3 RET2
OPI3 OST6
OPI3 PHO85
OPI3 SEY1
OPI3 EMC4
OPI3 MSC1
OPI3 HLJ1
OPI3 NIP100
OPI3 UBP3
OPI3 CKB2
OPI3 LAS21
OPI3 HUT1
OPI3 MSC7
OPI3 BST1
OPI3 STE50
OPI3 HRD1
OPI3 SRO7
OPI3 RGP1
OPI3 NHX1
OPI3 SAC7
OPI3 BRE1
OPI3 RPN4
OPI3 DYN3
OPI3 TCO89
OPI3 DER1
OPI3 MGA2
OPI3 FAT1
OPI3 TGL3
OPI3 PHO23
OPI3 PKR1
OPI3 ERG3
OPI3 ARL3
OPI3 EHT1
OPI3 PSD1
OPI3 SEC28
OPI3 VPS64
OPI3 STE24
