source target
AARS2 NDUFS7
AARS2 SCGB1D1
SRSF8 ELAVL2
SRSF8 ZC3H18
SRSF8 LUC7L
SRSF8 NXF2
SRSF8 SNRNP70
SRSF8 CLK3
SRSF8 TRA2A
SRSF8 C11orf57
SRSF8 SNIP1
SRSF8 MECP2
SRSF8 LUC7L2
SRSF8 APOBEC3D
SRSF8 CLK2
SRSF8 PIP4K2A
SRSF8 IL36RN
SRSF8 SREK1
CLEC1A CCPG1
ICAM3 ZNF431
ICAM3 TMEM192
ICAM3 FUT8
KLHL22 KLHL26
KLHL22 CIZ1
KLHL22 RBM15B
KLHL22 ZBTB34
KLHL22 RBM14-RBM4
KLHL22 LYRM5
KLHL22 LYRM7
KLHL22 GLUD1
KLHL22 SCAF8
KLHL22 GMNN
KLHL22 EMC7
KLHL22 NDUFB9
KLHL22 TMEM223
KLHL22 KLHL9
KLHL22 METTL15
KLHL22 CCL21
KLHL22 MICU2
KLHL22 TRMT6
KLHL22 GFER
KLHL22 MICU1
KLHL22 GBAS
KLHL22 CUL3
KLHL22 NUDCD3
KLHL22 ATG4C
KLHL22 KLHL13
KLHL22 GLUD2
KLHL22 ZBTB33
KLHL22 ATPAF2
KLHL22 POLDIP3
KLHL22 NOB1
KLHL22 LYRM4
KLHL22 SCARF2
KLHL22 KLHL20
KLHL22 C7orf55
KLHL22 NOA1
KLHL22 NDUFAF5
KLHL22 NFS1
CDK12 ZNF2
CDK12 FGF8
CDK12 RPL37A
CDK12 RRS1
CDK12 RPS14
CDK12 CDX1
CDK12 CDK13
KIF13B ASB7
KIF13B KIAA1279
TLN2 RGCC
TLN2 KANK4
RAVER1 FGL1
RAVER1 CDC16
RAVER1 CNOT7
RAVER1 P4HA2
RAVER1 SCGN
RAVER1 CNOT11
RAVER1 TOB1
RAVER1 HNRNPLL
RAVER1 GADD45B
RAVER1 FKBP9
FCRL2 METAP2
PODN CNPY4
PODN OS9
PODN LRP5
PODN SPSB3
PODN HSPA5
PODN TUBB8
PXYLP1 FURIN
PXYLP1 TNFSF13B
PXYLP1 GNPTAB
PXYLP1 TOR1AIP2
PXYLP1 MCOLN3
PXYLP1 ADCY9
PXYLP1 PTCH1
GID8 LILRB4
GID8 BMP1
GID8 JPH4
GID8 RMND5A
GID8 MMP7
GID8 PIGT
GID8 SPINK7
GID8 GPS2
GID8 CCDC120
GID8 PRICKLE3
GID8 MRPL4
GID8 TDGF1
GID8 PRG2
GID8 NDUFS6
GID8 TIGD5
GID8 PRG3
GID8 INSL6
TACC3 SLAIN2
TACC3 ZFC3H1
TACC3 PLEKHO2
TACC3 HSPA8
TACC3 HSPBP1
TACC3 AURKA
TACC3 MVK
TACC3 SPERT
TACC3 CORO6
TACC3 SNAP29
TACC3 OIP5
TACC3 C17orf59
TACC3 EVL
TACC3 CRISP2
TACC3 GTF2E2
TRIM27 ZNF621
TRIM27 GLTSCR2
TRIM27 C1orf106
TRIM27 NDEL1
TRIM27 MAP7D2
TRIM27 ZNF764
TRIM27 NDE1
TRIM27 IKZF5
TRIM27 ZNF785
TRIM27 LGALS3BP
TRIM27 ZNF219
TRIM27 POTEB3
TRIM27 KRBA1
CYP4B1 PKLR
PHTF1 GPR156
PHTF1 LYPD3
PHTF1 CAPN5
GLE1 HIST1H1E
GLE1 RRS1
GLE1 NXF2
GLE1 HIST1H1A
GLE1 IER2
GLE1 NXF1
GLE1 C9orf41
GLDC CAPN6
GLDC SOST
GLDC FDPS
GLDC SPATA13
GLDC NDUFAB1
GLDC POLG2
SENP8 IFT43
SENP8 HDGFRP3
CIDEA SERPINA12
CIDEA KPRP
CIDEA ICAM1
CIDEA IGHG2
CIDEA PKP1
TCF3 NEUROG3
TCF3 MESP2
TCF3 COLGALT2
TCF3 ID2
TCF3 NEUROD1
TCF3 MYOG
TCF3 MYF6
TCF3 FERD3L
TCF3 FKBP9
TCF3 TCF4
CAND2 ADORA3
CAND2 FAM174A
CAND2 BSG
CAND2 CD244
CAND2 TNFSF13B
CAND2 SIGLECL1
CAND2 VTI1B
CAND2 ARHGAP36
CAND2 PTGER3
CAND2 EPHA1
CAND2 FZD10
CAND2 CHRM3
CAND2 TMEM108
CAND2 ALDH3A2
CAND2 NPY2R
CAND2 SDC2
CAND2 LPAR4
CAND2 CHRM4
CAND2 HTR2C
CAND2 EFNB2
CAND2 SCN2B
DCP1B DCP2
DCP1B FAM167A
DCP1B DDX6
DCP1B PIM1
DCP1B LPXN
DCP1B GRN
DCP1B IRF2BP1
DCP1B BOD1
DCP1B ERP44
DCP1B BAG4
DCP1B EDC3
DCP1B CCDC102B
DCP1B CCDC60
DCP1B ZNF704
